      xlow   xupp    ylow    yupp        content      error
363   2.75   3.00   300.0   500.0   5.175439e-01   0.046815
364   3.00   3.10    10.0    15.0   0.000000e+00   0.000000
365   3.00   3.10    15.0    20.0   0.000000e+00   0.000000
366   3.00   3.10    20.0    25.0   0.000000e+00   0.000000
367   3.00   3.10    25.0    30.0   0.000000e+00   0.000000
368   3.00   3.10    30.0    35.0   1.000000e-06   0.028976
369   3.00   3.10    35.0    40.0   1.000000e-06   0.035071
370   3.00   3.10    40.0    50.0   1.000000e-06   0.025967
371   3.00   3.10    50.0    70.0   1.000000e-06   0.024686
372   3.00   3.10    70.0   100.0   1.000000e-06   0.037715
373   3.00   3.10   100.0   150.0   9.090909e-02   0.084492
374   3.00   3.10   150.0   200.0   1.000000e-06   0.132260
375   3.00   3.10   200.0   300.0   1.000000e-06   0.216506
376   3.00   3.10   300.0   500.0   1.000000e-06   0.353553
377   3.10   3.50    10.0    15.0   0.000000e+00   0.000000
378   3.10   3.50    15.0    20.0   0.000000e+00   0.000000
379   3.10   3.50    20.0    25.0   0.000000e+00   0.000000
380   3.10   3.50    25.0    30.0   0.000000e+00   0.000000
381   3.10   3.50    30.0    35.0   0.000000e+00   0.000000
382   3.10   3.50    35.0    40.0   0.000000e+00   0.000000
383   3.10   3.50    40.0    50.0   0.000000e+00   0.000000
384   3.10   3.50    50.0    70.0   0.000000e+00   0.000000
385   3.10   3.50    70.0   100.0   0.000000e+00   0.000000
386   3.10   3.50   100.0   150.0   0.000000e+00   0.000000
387   3.10   3.50   150.0   200.0   0.000000e+00   0.000000
388   3.10   3.50   200.0   300.0   0.000000e+00   0.000000
389   3.10   3.50   300.0   500.0   0.000000e+00   0.000000
390   3.50   4.00    10.0    15.0   0.000000e+00   0.000000
391   3.50   4.00    15.0    20.0   0.000000e+00   0.000000
392   3.50   4.00    20.0    25.0   0.000000e+00   0.000000
393   3.50   4.00    25.0    30.0   0.000000e+00   0.000000
394   3.50   4.00    30.0    35.0   0.000000e+00   0.000000
395   3.50   4.00    35.0    40.0   0.000000e+00   0.000000
396   3.50   4.00    40.0    50.0   0.000000e+00   0.000000
397   3.50   4.00    50.0    70.0   0.000000e+00   0.000000
398   3.50   4.00    70.0   100.0   0.000000e+00   0.000000
399   3.50   4.00   100.0   150.0   0.000000e+00   0.000000
400   3.50   4.00   150.0   200.0   0.000000e+00   0.000000
401   3.50   4.00   200.0   300.0   0.000000e+00   0.000000
402   3.50   4.00   300.0   500.0   0.000000e+00   0.000000
403   4.00   5.00    10.0    15.0   0.000000e+00   0.000000
404   4.00   5.00    15.0    20.0   0.000000e+00   0.000000
405   4.00   5.00    20.0    25.0   0.000000e+00   0.000000
406   4.00   5.00    25.0    30.0   0.000000e+00   0.000000
407   4.00   5.00    30.0    35.0   0.000000e+00   0.000000
408   4.00   5.00    35.0    40.0   0.000000e+00   0.000000
409   4.00   5.00    40.0    50.0   0.000000e+00   0.000000
410   4.00   5.00    50.0    70.0   0.000000e+00   0.000000
411   4.00   5.00    70.0   100.0   0.000000e+00   0.000000
412   4.00   5.00   100.0   150.0   0.000000e+00   0.000000
413   4.00   5.00   150.0   200.0   0.000000e+00   0.000000
414   4.00   5.00   200.0   300.0   0.000000e+00   0.000000
415   4.00   5.00   300.0   500.0   0.000000e+00   0.000000
